关卡基本数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,敌人配置,,,,,,,,,,,,战斗关卡/宝箱奖励,,,,,宝箱关卡,,,,奖励配置,,,,,,,,,,,,,,,,,剧情,,音乐,战斗开始摄像机动画,,,"怪物ID
check",
关卡ID,,关卡名称,关卡介绍,关卡图标id,战斗场景id,场景中心点index,推荐等阶,类型,显示类型,BOSSid,,"Boss副本
的后续副本id",当日可刷上限,当日钻石重置次数上限,每次重置消耗钻石数量,本关上阵敌人实力值,英雄等级,英雄等级验证,难度,空位1,空位2,怪物配置区（无等级）,,,,,,,,,怪物所用阵法id,魔法阵等级,前排上位怪物ID,前排中位怪物ID,前排下位怪物ID,中排上位怪物ID,中排中位怪物ID,中排下位怪物ID,后排上位怪物ID,后排中位怪物ID,后排下位怪物ID,Boss位置索引,英雄经验奖励,金币奖励,"混沌结晶
奖励",显示掉落,,宝箱图标id,"开启宝箱关卡
所需星数","开启宝箱
所需划动次数",关卡类型,掉落方式,掉落1类型,掉落1id,1概率,掉落2类型,掉落2id,2概率,掉落3类型,掉落3id,3概率,掉落4类型,掉落4id,4概率,掉落5类型,掉落5id,5概率,撞车几率,战前剧情Id,战后剧情ID,战斗背景音乐,战斗开始摄像机动画,场景type,关卡战力,2,
index,,name,brief,icon,sceneID,centerIndex,recommandLv,type,showType,boss,,serialNext,dailyLimit,dailyResetCount,diamondPrice,,,0,,,,前上,前中,前下,中上,中中,中下,后上,后中,后下,formation,formationLv,enemy1,enemy2,enemy3,enemy4,enemy5,enemy6,enemy7,enemy8,enemy9,bossIndex,rewardGodExp,rewardGold,chaosCrystal,dropitems,,boxIcon,key,boxOpenCount,,dropType,propType1,propId1,rate1,propType2,propId2,rate2,propType3,propId3,rate3,propType4,propId4,rate4,propType5,propId5,rate5,comeAcross,story1,story2,backmusic,sceneshow,scenetype,levelforce,,
,诺亚方舟，普通难度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,指定掉落,,,全局掉落,,,,,,,,,,,,,15,15,,,,,,
NOA0001,诺亚方舟1,初来乍到,因混沌力量引发的混乱引起了诸神的争斗，神力大大削减之际，有一队英雄尊从造物主的安排，降临在诺亚方舟之上。,I_Noahsark_1,S_NoahsArk_001,0,1,关卡,Normal,,,,100,5,"50,50,100,100,200",,1,,A,5,8,,3A1,,3A3,3A3,3A3,,,,,,,3A1001,,3A3001,3A3001,3A3001,,,,,40,275,,,,,,,1,0,,,,drop,hellsb101,0.5,,,,,,,,,,,Anuoyafangzhou,,A_CommonFightMusic,5,,1141,,
NOA0002,诺亚方舟2,遭遇海盗,英雄登船之时，诺亚方舟已被一伙儿海盗占领，海盗们以为英雄们是来抢夺船只的，因此悍不畏死的冲杀过来。,I_Noahsark_2,S_NoahsArk_001,1,2,关卡,Normal,,,,100,5,"50,50,100,100,200",,5,,A,1,9,,3A1,,3A3,3A4,3A5,,,,,,,3A1005,,3A3005,3A4005,3A5005,,,,,40,460,,,,,,,1,0,,,,drop,hellsb101,0.5,,,,,,,,,,,Azaoyuhaidao,,A_CommonFightMusic,0,,1587,,
NOA0003,诺亚方舟3,船长黑胡子,占领诺亚方舟的海盗头目名叫黑胡子，他是一位穷凶极恶，臭名昭著的强盗，在海盗的世界里坐头把交椅！,I_Blackbeard,S_NoahsArk_001,4,2,关卡,SmallBoss,黑胡子1,"AEBHHZ0,",,10,5,"50,50,100,100,200",,6,,A,5,8,3A2,,,3A4,EBHHZ0,3A5,,,,,,3A2006,,,3A4006,AEBHHZ0006,3A5006,,,,5,45,505,3,"2,EQ40013,1;1,IP002,1","2,EQ40013,1,1",,,,2,0,drop,NOA0003,0.4,drop,hellsb101,0.5,物品,"IP002,1",0.2,,,,,,,,Achuanzhangheihuzi,Achuanzhangheihuzihou,A_BossFightMusic,0,,1625,,0.4
NOA0004,诺亚方舟4,追击黑胡子,黑胡子战败逃跑，不肯交出诺亚方舟的指挥权，英雄们在庞大的诺亚方舟中寻找他的踪迹。,I_Noahsark_3,S_NoahsArk_001,2,3,关卡,Normal,,,,100,5,"50,50,100,100,200",,8,,A,5,8,,3A2,,,3A3,3A5,,3A6,,,,,3A2008,,,3A3008,3A5008,,3A6008,,,40,660,,,,,,,1,0,,,,drop,hellsb101,0.5,,,,,,,,,,,Azhuijiheihuzi,,A_CommonFightMusic,3,,1987,,
NOA0005,诺亚方舟5,巴哈姆特,英雄们还没有找到黑胡子的踪迹，万万没想到，还没找到黑胡子的踪迹，英雄们先遇到了一个奇怪的对手。,I_Bahamut,S_NoahsArk_001,4,3,BOSS,BigBoss,巴哈姆特1,"AEBBHMT0,",ABossBHMT,5,5,"50,50,100,100,200",,10,,A,5,8,2A2,2A1,2A1,,EBBHMT0,,,,,,,2A2010,2A1010,2A1010,,AEBBHMT0010,,,,,5,65,995,6,"2,EQ30004,1;1,IP002,1","2,EQ30004,1,1",,,,3,0,drop,NOA0005,0.4,drop,hellsb101,0.5,物品,"IP002,1",0.2,,,,,,,,Abahamute1,Abahamute2,A_BossFightMusic,0,,3112,,0.4
,诺亚方舟，困难难度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,item,,,,,,,,,,,,,,,,,,,,
NOAN0001,诺亚方舟1,初来乍到,因混沌力量引发的混乱引起了诸神的争斗，神力大大削减之际，有一队英雄尊从造物主的安排，降临在诺亚方舟之上。,I_Noahsark_1,S_NoahsArk_001,0,1,关卡,Normal,,,,100,5,"50,50,100,100,200",,1,,B,1,9,,3B1,,3B4,3B4,3B3,,3B6,,,,,3B1001,,3B4001,3B4001,3B3001,,3B6001,,,45,285,,,,,,,4,0,,,,drop,hard1,0.375,,,,,,,,,,,Bnuoyafangzhou,,A_CommonFightMusic,5,,1789,,
NOAN0002,诺亚方舟2,遭遇海盗,英雄登船之时，诺亚方舟已被一伙儿海盗占领，海盗们以为英雄们是来抢夺船只的，因此悍不畏死的冲杀过来。,I_Noahsark_2,S_NoahsArk_001,1,1,关卡,Normal,,,,100,5,"50,50,100,100,200",,3,,B,2,5,,3B1,,3B3,,3B4,3B3,,3B5,,,,3B1003,,3B3003,,3B4003,3B3003,,3B5003,,45,285,,,,,,,4,0,,,,drop,hard1,0.375,,,,,,,,,,,Bzaoyuhaidao,,A_CommonFightMusic,0,,2240,,
NOAN0003,诺亚方舟3,疯狂海盗,疯狂的海盗奋勇冲杀，英雄们来不及解释自己的来意，便被海盗们一拥而上……,I_Noahsark_3,S_NoahsArk_001,2,2,关卡,Normal,,,,100,5,"50,50,100,100,200",,4,,B,3,7,3B1,3B2,3B1,3B4,,3B5,,,,,,3B1004,3B2004,3B1004,3B4004,,3B5004,,,,,45,505,,,,,,,4,0,,,,drop,hard1,0.375,,,,,,,,,,,,,A_CommonFightMusic,3,,2506,,
